	L	R	LR
0	1.0	99.18373801899833	17.21
1	0.9999179491589769	99.18365596815731	17.210082050841024
2	0.9998359061835987	99.18357392518193	17.210164093816402
3	0.9997538712819923	99.18349189028034	17.21024612871801
4	0.9996718446103272	99.18340986360866	17.21032815538967
5	0.9995898262200918	99.18332784521841	17.210410173779906
6	0.9995078161278798	99.1832458351262	17.210492183872116
7	0.9994258143386525	99.18316383333698	17.210574185661343
8	0.9993438208534942	99.18308183985181	17.210656179146504
9	0.9992618356721965	99.18299985467051	17.210738164327804
10	0.9991798587941205	99.18291787779243	17.21082014120588
11	0.9990978902184836	99.18283590921679	17.210902109781514
12	0.9990159299444554	99.18275394894277	17.210984070055545
13	0.9989339779711897	99.1826719969695	17.21106602202881
14	0.9988520342978349	99.18259005329615	17.211147965702164
15	0.9987700989235377	99.18250811792186	17.21122990107646
16	0.9986881718474448	99.18242619084576	17.211311828152553
17	0.9986062530687024	99.18234427206701	17.211393746931293
18	0.998524342586542	99.18226236158485	17.21147565741345
19	0.9984424404001441	99.18218045939844	17.211557559599846
20	0.998360546508592	99.18209856550688	17.211639453491397
21	0.9982786609110017	99.18201667990928	17.21172133908899
22	0.9981967836064971	99.18193480260479	17.211803216393495
23	0.9981149145942191	99.18185293359251	17.211885085405772
24	0.9980330538733148	99.1817710728716	17.211966946126676
25	0.9979512014429323	99.18168922044121	17.21204879855706
26	0.9978693573022194	99.1816073763005	17.212130642697772
27	0.9977875214503232	99.1815255404486	17.212212478549667
28	0.9977056938863912	99.18144371288467	17.2122943061136
29	0.9976238746095702	99.18136189360786	17.21237612539042
30	0.9975420636190079	99.18128008261729	17.212457936380982
31	0.9974602609138514	99.18119827991214	17.21253973908614
32	0.9973784664932485	99.18111648549153	17.21262153350674
33	0.9972966803563464	99.18103469935463	17.212703319643644
34	0.9972149025022932	99.18095292150058	17.212785097497697
35	0.9971331329302363	99.18087115192851	17.212866867069753
36	0.9970513716393238	99.1807893906376	17.212948628360664
37	0.9969696186287035	99.18070763762698	17.213030381371283
38	0.9968878738975234	99.1806258928958	17.213112126102462
39	0.9968061374449319	99.18054415644322	17.213193862555055
40	0.9967244092700769	99.18046242826837	17.21327559072991
41	0.996642689372107	99.18038070837041	17.21335731062788
42	0.9965609777501704	99.18029899674848	17.21343902224982
43	0.9964792744034157	99.18021729340172	17.213520725596574
44	0.9963975793309915	99.1801355983293	17.213602420668998
45	0.9963158925320464	99.18005391153035	17.213684107467945
46	0.9962342140057293	99.17997223300404	17.213765785994262
47	0.9961525437511889	99.17989056274949	17.213847456248804
48	0.9960708817675742	99.17980890076588	17.213929118232418
49	0.9959892280540342	99.17972724705234	17.214010771945958
50	0.9959075826097181	99.17964560160803	17.214092417390273
51	0.9958259454337751	99.17956396443209	17.214174054566215
52	0.9957443165253544	99.17948233552367	17.214255683474637
53	0.9956626958836056	99.17940071488192	17.214337304116384
54	0.9955810835076779	99.179319102506	17.214418916492313
55	0.9954994793967212	99.17923749839504	17.21450052060327
56	0.995417883549885	99.1791559025482	17.214582116450106
57	0.9953362959663191	99.17907431496464	17.214663704033672
58	0.9952547166451733	99.17899273564349	17.21474528335482
59	0.9951731455855976	99.17891116458391	17.214826854414394
60	0.9950915827867418	99.17882960178505	17.21490841721325
61	0.9950100282477563	99.17874804724607	17.214989971752235
62	0.9949284819677913	99.1786665009661	17.2150715180322
63	0.9948469439459969	99.17858496294431	17.215153056053996
64	0.9947654141815236	99.17850343317984	17.215234585818468
65	0.994683892673522	99.17842191167183	17.21531610732647
66	0.9946023794211425	99.17834039841945	17.215397620578848
67	0.9945208744235358	99.17825889342184	17.215479125576454
68	0.9944393776798526	99.17817739667815	17.215560622320137
69	0.9943578891892438	99.17809590818754	17.215642110810744
70	0.9942764089508603	99.17801442794917	17.215723591049127
71	0.9941949369638532	99.17793295596216	17.215805063036132
72	0.9941134732273735	99.17785149222568	17.21588652677261
73	0.9940320177405725	99.17777003673888	17.21596798225941
74	0.9939505705026014	99.1776885895009	17.21604942949738
75	0.9938691315126116	99.17760715051091	17.216130868487372
76	0.9937877007697545	99.17752571976806	17.21621229923023
77	0.9937062782731819	99.17744429727148	17.216293721726803
78	0.9936248640220453	99.17736288302034	17.21637513597794
79	0.9935434580154964	99.17728147701379	17.21645654198449
80	0.993462060252687	99.17720007925098	17.216537939747298
81	0.9933806707327691	99.17711868973106	17.216619329267214
82	0.9932992894548948	99.17703730845318	17.216700710545087
83	0.9932179164182159	99.1769559354165	17.216782083581766
84	0.9931365516218849	99.17687457062017	17.216863448378096
85	0.9930551950650538	99.17679321406334	17.216944804934926
86	0.9929738467468752	99.17671186574516	17.217026153253105
87	0.9928925066665014	99.17663052566479	17.21710749333348
88	0.9928111748230851	99.17654919382137	17.217188825176894
89	0.9927298512157788	99.17646787021407	17.217270148784202
90	0.9926485358437354	99.17638655484203	17.217351464156245
91	0.9925672287061075	99.17630524770439	17.217432771293872
92	0.9924859298020481	99.17622394880033	17.217514070197932
93	0.9924046391307102	99.176142658129	17.21759536086927
94	0.9923233566912469	99.17606137568953	17.217676643308735
95	0.9922420824828114	99.17598010148109	17.217757917517172
96	0.992160816504557	99.17589883550284	17.21783918349543
97	0.9920795587556369	99.17581757775392	17.21792044124435
98	0.9919983092352047	99.17573632823348	17.21800169076478
99	0.9919170679424139	99.1756550869407	17.21808293205757
100	0.991835834876418	99.1755738538747	17.218164165123564
101	0.9917546100363709	99.17549262903465	17.218245389963613
102	0.9916733934214262	99.1754114124197	17.218326606578557
103	0.991592185030738	99.17533020402902	17.218407814969247
104	0.9915109848634601	99.17524900386175	17.218489015136523
105	0.9914297929187468	99.17516781191704	17.218570207081235
106	0.9913486091957521	99.17508662819404	17.21865139080423
107	0.9912674336936302	99.17500545269192	17.21873256630635
108	0.9911862664115356	99.17492428540983	17.218813733588444
109	0.9911051073486227	99.17484312634691	17.218894892651356
110	0.9910239565040458	99.17476197550234	17.218976043495932
111	0.9909428138769598	99.17468083287525	17.219057186123017
112	0.9908616794665193	99.17459969846482	17.219138320533457
113	0.9907805532718791	99.17451857227017	17.219219446728097
114	0.9906994352921941	99.17443745429048	17.219300564707783
115	0.9906183255266191	99.17435634452491	17.219381674473357
116	0.9905372239743093	99.1742752429726	17.21946277602567
117	0.99045613063442	99.17419414963271	17.21954386936556
118	0.9903750455061061	99.1741130645044	17.219624954493874
119	0.9902939685885231	99.17403198758682	17.219706031411455
120	0.9902128998808265	99.17395091887911	17.219787100119152
121	0.9901318393821718	99.17386985838046	17.219868160617807
122	0.9900507870917145	99.17378880609	17.219949212908265
123	0.9899697430086102	99.1737077620069	17.220030256991368
124	0.9898887071320148	99.17362672613031	17.220111292867962
125	0.9898076794610843	99.17354569845938	17.220192320538892
126	0.9897266599949744	99.17346467899327	17.220273340005
127	0.9896456487328413	99.17338366773113	17.220354351267133
128	0.9895646456738411	99.17330266467214	17.220435354326135
129	0.98948365081713	99.17322166981542	17.220516349182844
